"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2"
"1","50","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","1","B2","1","B4W4G2G3G4","B2B3W3Y2Y4"
"1","51","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","1","G1","0","B4W4G2G3G4","G1B3W3Y2Y4"
"1","52","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","1","G1","1","B4W4G2G3G4","G1B3W3Y2Y4"
"1","53","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","3","G2","0","B4W4G2G3G4","R2B3W3Y2Y4"
"1","54","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","4","Y2","1","G0B4W4G3G4","R2B3W3Y2Y4"
"1","55","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","4","G3","0","G0B4W4G3G4","Y0R2B3W3Y4"
"1","56","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","2","R2","1","B2G0B4W4G4","Y0R2B3W3Y4"
"1","57","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","5","G4","0","B2G0B4W4G4","W0Y0B3W3Y4"
"1","58","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","2","B2","1","B0B2G0B4W4","W0Y0B3W3Y4"
"1","59","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","2","B2","0","B0B2G0B4W4","W0Y0B3W3Y4"
